Scan Number	MS Level	Retention Time	Ion Injection Time (ms)	BPI	TIC
1	1	0.00186607253333333	0.936	494163904	1548210048
2	1	0.00588244666666667	0.012	1187917056	3362984960
3	2	0.0062238816	0.467	248567808	1699406336
4	2	0.00851821653333333	0.48	161390784	1047341056
5	2	0.00973625971666667	7.157	7202350.5	108458864
6	2	0.0143277997333333	0.448	269340608	1600375296
7	2	0.0163856666666667	0.448	256003216	1543565568
8	2	0.0183396719833333	0.448	240610640	1437129984
9	2	0.020327036	0.459	143611568	763128192
10	2	0.0222810989333333	0.459	138925792	779923776
11	2	0.02423538185	0.459	141158912	726952512
12	2	0.02618938985	8.514	12046224	58943804
13	2	0.02940158665	8.514	12318077	58248676
14	2	0.0326138592	8.514	12032001	56472088
15	2	0.0358157616	7.209	4682850.5	75372928
16	2	0.0370386784	31.78	1967733.75	17035718
17	2	0.04028222	8.833	9415080	36928424
18	2	0.0435031725166667	8.833	9180188	36977572
19	2	0.0467192296	8.833	8838952	36912516
20	2	0.04993771865	40.294	2120371.25	10192011
21	2	0.0536979181166667	40.294	2140417.25	10324845
22	2	0.0574352085333333	40.294	2345716.5	11160704
23	1	0.0622004413333333	0.16	778636160	2344517632
24	2	0.0625453581333333	0.425	271784288	1855613184
25	2	0.06483502585	0.43	190608896	1249527680
26	2	0.0660566095833333	7.843	7466670.5	110852488
27	2	0.0709969512	0.372	255056816	1530348288
28	2	0.0732384165166667	0.372	243366784	1455616000
29	2	0.0751904333166667	0.372	249117920	1460206720
30	2	0.0771421832	0.412	157780432	839065856
31	2	0.0790962608	0.412	156109008	845280000
32	2	0.0810503173333333	0.412	163864560	853519360
33	2	0.0830043928	7.978	12493184	60355504
34	2	0.086239572	7.978	12055151	57788388
35	2	0.0894436672	7.978	10931655	54364992
36	2	0.0926372317333333	7.978	4612552.5	74489784
37	2	0.0971977538666667	11.93	7866023	32357870
38	2	0.100470255466667	11.93	8781652	35123520
39	2	0.103740557066667	11.93	8249012	34473532
40	1	0.108032986383333	0.163	786172736	2358024704
41	2	0.108377850933333	0.352	282424864	1893973888
42	2	0.11066530585	0.37	192668736	1254882304
43	2	0.111890326116667	7.196	7220847.5	110395144
44	2	0.116425334666667	0.326	288019616	1660002688
45	2	0.118620788533333	0.326	259959536	1512770560
46	2	0.1206081712	0.326	267876944	1626215936
47	2	0.122555944516667	0.36	151377232	803717888
48	2	0.1245058336	0.36	155444208	820468544
49	2	0.126458061066667	0.36	147546976	783752320
50	2	0.1284097824	5.983	12872593	61412008
51	2	0.131578358933333	5.983	12307256	60634632
52	2	0.134746944	5.983	13322356	62798420
53	2	0.13790711545	10.67	4249656.5	70743952
54	2	0.1391322328	27.671	2214381.75	19488020
55	2	0.142757033333333	8.224	9405258	37664164
56	2	0.145960777066667	8.224	8797004	36166208
57	2	0.149168927733333	8.224	8712786	35865412
58	2	0.1524000064	19.215	2329524.75	11660958
59	2	0.155789341316667	19.215	2193756.25	10699867
60	2	0.159180792266667	19.215	2325253.75	11920439
61	1	0.163594265316667	0.209	709049216	2196354816
62	2	0.163938926916667	0.309	292015968	1946744832
63	2	0.166234738116667	0.324	200573568	1310781312
64	2	0.167459931983333	5.244	7671212.5	110296552
65	2	0.171946993333333	0.345	276547840	1599730816
66	2	0.17391937065	0.345	276312000	1614668288
67	2	0.17586927465	0.345	267739408	1574344064
68	2	0.1778211944	0.364	160779856	830389824
69	2	0.179773366383333	0.364	157667904	861106816
70	2	0.1817271856	0.364	158655376	822310272
71	2	0.183677065866667	7.588	11854679	56757888
72	2	0.186904040516667	7.588	11949391	58294732
73	2	0.190101754933333	7.588	11722462	58099808
74	2	0.193289143733333	7.555	4850350.5	76281960
75	2	0.194520443183333	17.293	2470662.5	21523800
76	2	0.19792032745	18.822	7999511	32535508
77	2	0.201303094116667	18.822	7763190.5	32032554
78	2	0.20468626105	18.822	7656222.5	31216130
79	2	0.20806949785	31.619	2141610.75	10761697
80	2	0.211662892783333	31.619	2257214.5	11086430
81	2	0.215258501583333	31.619	2187352.5	10872676
82	1	0.219877877333333	0.201	673464320	2019842432
83	2	0.22022084025	0.327	254718192	1670678528
84	2	0.222512428266667	0.336	187560112	1219137536
85	2	0.22373527785	6.967	7682638.5	111774472
86	2	0.227968220783333	0.336	255847120	1496446208
87	2	0.230178274133333	0.336	265537600	1592841728
88	2	0.232130487983333	0.336	237773216	1417314816
89	2	0.234082412516667	0.363	167667264	887859840
90	2	0.23603846265	0.363	161690336	854568000
91	2	0.237990316783333	0.363	160303184	870520448
92	2	0.239942287466667	5.47	10875431	56258912
93	2	0.243102791983333	5.47	12763535	64214528
94	2	0.246264828516667	5.47	12197468	59808248
95	2	0.24941676745	10.442	4669935.5	73182144
96	2	0.250646291983333	25.938	2095855.75	18991118
97	2	0.254381064533333	5.769	9054702	36768048
98	2	0.2575499448	5.769	8894077	37322548
99	2	0.260716321066667	5.769	8690418	38155384
100	2	0.263882446933333	22.028	2195351.75	10593742
101	2	0.26731768345	22.028	2190860.25	11120172
102	2	0.270755171183333	22.028	2048465.5	10884129
103	1	0.2752160152	0.167	719594688	2178608896
104	2	0.275563124266667	0.319	272569440	1844859136
105	2	0.2778505656	0.333	185998096	1220448896
106	2	0.279071571183333	5.006	7420030.5	110006552
107	2	0.2835004016	0.312	272722272	1644009472
108	2	0.285472713066667	0.312	270184480	1617574144
109	2	0.287424936533333	0.312	253692976	1486340608
110	2	0.289376660266667	0.344	149223104	800676608
111	2	0.291328727466667	0.344	162729152	865940480
112	2	0.2932805856	0.344	145466928	773946048
113	2	0.2952325376	7.349	11702348	58920176
114	2	0.298426116266667	7.349	11758978	59524648
115	2	0.3016197856	7.349	11421027	57434668
116	2	0.3048028432	4.752	5378183.5	80714608
117	2	0.306034222116667	20.338	2199128	19637414
118	2	0.30899870505	9.438	8266433	34062880
119	2	0.312223310116667	9.438	8769369	38315800
120	2	0.315450068533333	9.438	8461912	35029988
121	2	0.318679084266667	33.334	1995541.25	10282924
122	2	0.322326720816667	33.334	2042842	10126986
123	2	0.325951491716667	33.334	2120268.25	10540741
124	1	0.330600125866667	0.166	698774336	2097728384
125	2	0.330945071466667	0.296	266495712	1776577152
126	2	0.3332323864	0.311	182350496	1178500736
127	2	0.33445540425	6.762	7533049	111283816
128	2	0.338583972783333	0.308	276204160	1610031744
129	2	0.340823494116667	0.308	231372144	1378567936
130	2	0.342775315183333	0.308	251133360	1476684544
131	2	0.34472527465	0.335	155737440	801052160
132	2	0.34667538025	0.335	158931200	853797568
133	2	0.34862700345	0.335	147393840	783692096
134	2	0.35057906505	5.153	12383721	63166012
135	2	0.353764255983333	5.153	11461576	59217100
136	2	0.35692460665	5.153	11419306	58790008
137	2	0.36007015465	8.51	4917408.5	76820120
138	2	0.361299420533333	27.928	2082054.75	18647516
139	2	0.364722063183333	6.311	8773446	37622096
140	2	0.367896709866667	6.311	8714097	36514276
141	2	0.37107147705	6.311	8895807	39692468
142	2	0.374254694116667	24.129	1936683.25	9934662
143	2	0.3777272912	24.129	2245545	11415740
144	2	0.381195834133333	24.129	2183122.25	10930597
145	1	0.385692270416667	0.213	717202048	2175855616
146	2	0.386052233333333	0.292	298608160	1985339136
147	2	0.3883268968	0.304	185640784	1180144384
148	2	0.389548016	4.747	8199881.5	122229912
149	2	0.393686935183333	0.354	274253664	1577783808
150	2	0.396817690133333	0.354	265768224	1571186944
151	2	0.398784305333333	0.354	279429728	1634161920
152	2	0.400736261583333	0.4	141149232	750029760
153	2	0.4026903448	0.4	155666176	806406656
154	2	0.404642175733333	0.4	153926896	818414336
155	2	0.406596244	7.451	11486038	58580972
156	2	0.409791909866667	7.451	11830662	59852600
157	2	0.412987549333333	7.451	11036659	54557892
158	2	0.416170773066667	4.859	5088359	77434080
159	2	0.41739369945	21.406	2073378.625	18448874
160	2	0.4223418576	9.308	8083520	33090822
161	2	0.425570575183333	9.308	8600774	36085560
162	2	0.428795041066667	9.308	8456134	36110624
163	2	0.432021752783333	19.436	2382327.25	11614487
164	2	0.4354153488	19.436	2103377.75	10826565
165	2	0.438811166933333	19.436	2102391.75	11108935
166	1	0.443230512	0.191	698698048	2058703360
167	2	0.443575401866667	0.335	282596800	1923169664
168	2	0.445864941866667	0.358	180551008	1179830144
169	2	0.447085645066667	6.864	7348315	109614432
170	2	0.451664778933333	0.344	253912784	1498694400
171	2	0.453880705066667	0.344	257965376	1521946624
172	2	0.4558326904	0.344	254612992	1496333056
173	2	0.457786788266667	0.39	160827024	855987200
